Ad Link,Text,Image Description,Image Link,Ad Duration,Location,Age Range,Gender,Reach
https://www.facebook.com/ads/library/?id=2400924103624389,"Trainere und entspanne bei über 10.000+ Premium Partnern in unserem Sport- und Wellnessnetzwerk. Nutze unser volles Angebot. | Viele Vorteile. Ein Wellpass. Fitness, Schwimmen, Klettern, Yoga u.v.m. in über 10.000+ Studios oder Online. Jetzt kostenlos informieren!",Video (0:49) - Wellpass promotional video showcasing fitness activities,Not publicly available,22.04.2025 - 02.09.2025,Deutschland,18-65+,Alle,161175
https://www.facebook.com/ads/library/?id=672740355672657,"Mit EGYM Wellpass bietest du deinen Mitarbeitenden ein ausgewogenes Arbeitsleben, steigerst die Zufriedenheit deiner Teams und schaffst eine Unternehmenskultur, in der Wohlbefinden an erster Stelle steht. | Firmenfitness mit Wellpass",Static image - Corporate fitness/wellness branding,Not publicly available,20.05.2025 - 25.07.2025,"Deutschland, Österreich",18-65+,Alle,9201
https://www.facebook.com/ads/library/?id=859645050219355,Mit Wellpass profitieren Mitarbeitende von über 13.500 Partnerangeboten – zu einem Bruchteil der regulären Kosten. So schaffen Unternehmen einen echten Mehrwert im Alltag ihrer Teams – spürbar ab dem ersten Monat. | Firmenfitness mit Wellpass,Video (0:13) - Corporate benefits promotional video,Not publicly available,13.01.2026 - 26.03.2026,Deutschland,18-65+,Alle,1495
https://www.facebook.com/ads/library/?id=1417306762765242,"Grenzenlose Sportarten mit Wellpass: Dein Lifestyle, deine Flexibilität! | Work-Life-Fit mit EGYM Wellpass. Wir passen uns deinem Leben an, damit du jederzeit und überall trainieren kannst",Static image - Lifestyle/fitness flexibility branding,Not publicly available,04.03.2025 - 08.04.2025,Deutschland,18-65+,Alle,202150
https://www.facebook.com/ads/library/?id=9690631074319471,"Mit EGYM Wellpass bietest du deinen Mitarbeitenden ein ausgewogenes Arbeitsleben, steigerst die Zufriedenheit deiner Teams und schaffst eine Unternehmenskultur, in der Wohlbefinden an erster Stelle steht. | Firmenfitness mit Wellpass",Static image - Corporate fitness/wellness branding,Not publicly available,20.05.2025 - 24.07.2025,Deutschland,18-65+,Alle,202150
https://www.facebook.com/ads/library/?id=729815919536301,"Wellpass macht's möglich: 10.000+ Aktivitäten für deinen aktiven Lifestyle. | Firmenfitness mit Wellpass. Fitness, Schwimmen, Klettern, Yoga u.v.m. in über 10.000 Studios oder Online. Jetzt kostenlos informieren!",Static image - Active lifestyle with fitness activities,Not publicly available,23.06.2025 - 01.09.2025,"Deutschland, Österreich",18-65+,Alle,9369
https://www.facebook.com/ads/library/?id=572758442337155,"Mit EGYM Wellpass bietest du deinen Mitarbeitenden ein ausgewogenes Arbeitsleben, steigerst die Zufriedenheit deiner Teams und schaffst eine Unternehmenskultur, in der Wohlbefinden an erster Stelle steht. | Firmenfitness mit Wellpass",Static image - Corporate fitness/wellness branding,Not publicly available,23.06.2025 - 05.03.2026,"Deutschland, Österreich",18-65+,Alle,122473
https://www.facebook.com/ads/library/?id=1989685774899791,"Wellpass macht's möglich: 10.000+ Aktivitäten für deinen aktiven Lifestyle. | Firmenfitness mit Wellpass. Fitness, Schwimmen, Klettern, Yoga u.v.m. in über 10.000 Studios oder Online. Jetzt kostenlos informieren!",Static image - Active lifestyle with fitness activities,Not publicly available,23.06.2025 - 16.09.2025,"Deutschland, Österreich",18-65+,Alle,15744
https://www.facebook.com/ads/library/?id=957925213088012,"Wellpass bringt Ersparnisse für Fitness, Wellness & Yoga. Dein Arbeitgeber unterstützt! | Work-Life-Fit mit EGYM Wellpass. Spare bei Fitnesstudios, Wellness & Yoga dank der Arbeitgeberbeteiligung bei Wellpass.",Static image - Savings/employer benefit branding,Not publicly available,22.04.2025 - 02.09.2025,"Deutschland, Österreich",18-65+,Alle,42559
https://www.facebook.com/ads/library/?id=1340095170427942,"Mit EGYM Wellpass bietest du deinen Mitarbeitenden ein ausgewogenes Arbeitsleben, steigerst die Zufriedenheit deiner Teams und schaffst eine Unternehmenskultur, in der Wohlbefinden an erster Stelle steht. | Firmenfitness mit Wellpass",Static image - Corporate fitness/wellness branding,Not publicly available,20.05.2025 - 25.07.2025,Deutschland,18-65+,Alle,3724
https://www.facebook.com/ads/library/?id=2148972285543260,"Trainere und entspanne bei über 10.000 Premium Partnern in unserem Sport- und Wellnessnetzwerk. Nutze unser volles Angebot. | Viele Vorteile. Ein Wellpass. Fitness, Schwimmen, Klettern, Yoga u.v.m. in über 10.000 Studios oder Online. Jetzt kostenlos informieren!",Video (0:15) - Wellpass promotional video showcasing fitness activities,Not publicly available,23.05.2025 - 27.12.2025,"Deutschland, Österreich",18-65+,Alle,38254
https://www.facebook.com/ads/library/?id=2290093398122547,"Dein Arbeitgeber spendiert dir Ersparnisse für Fitness, Wellness & Yoga - dank Wellpass! Was würdest du mit dem Geld machen? | Work-Life-Fit mit EGYM Wellpass.",Static image - Employer savings/Wellpass branding,Not publicly available,13.11.2025 - 02.01.2026,Deutschland,18-65+,Alle,9647
https://www.facebook.com/ads/library/?id=1480032126744632,"Mit EGYM Wellpass bietest du deinen Mitarbeitenden ein ausgewogenes Arbeitsleben, steigerst die Zufriedenheit deiner Teams und schaffst eine Unternehmenskultur, in der Wohlbefinden an erster Stelle steht. | Firmenfitness mit Wellpass",Static image - Corporate fitness/wellness branding,Not publicly available,25.07.2025 - 05.03.2026,"Deutschland, Österreich",18-65+,Alle,2050
https://www.facebook.com/ads/library/?id=1427459998410814,"Trainere und entspanne bei über 10.000+ Premium Partnern in unserem Sport- und Wellnessnetzwerk. Nutze unser volles Angebot. | Viele Vorteile. Ein Wellpass. Fitness, Schwimmen, Klettern, Yoga u.v.m. in über 10.000+ Studios oder Online. Jetzt kostenlos informieren!",Video (0:49) - Wellpass promotional video showcasing fitness activities,Not publicly available,13.05.2025 - 25.07.2025,"Deutschland, Österreich",18-65+,Alle,71989
https://www.facebook.com/ads/library/?id=1772347043689274,"Wellpass macht's möglich: 10.000+ Aktivitäten für deinen aktiven Lifestyle. | Firmenfitness mit Wellpass. Fitness, Schwimmen, Klettern, Yoga u.v.m. in über 10.000 Studios oder Online. Jetzt kostenlos informieren!",Static image - Active lifestyle with fitness activities,Not publicly available,02.05.2025 - 17.06.2025,"Deutschland, Österreich",18-65+,Alle,93542
https://www.facebook.com/ads/library/?id=813891998213030,"Dein Arbeitgeber spendiert dir Ersparnisse für Fitness, Wellness & Yoga - dank Wellpass! Was würdest du mit dem Geld machen? | Work-Life-Fit mit EGYM Wellpass.",Static image - Employer savings/Wellpass branding,Not publicly available,13.11.2025 - 05.01.2026,Deutschland,18-65+,Alle,83917
https://www.facebook.com/ads/library/?id=1395434021804811,Trainiere bei jedem unserer 10.000 Partner in ganz Deutschland und nutze das volle Angebot von Wellpass.,Static image - Germany-wide partner network branding,Not publicly available,09.05.2025 - 18.11.2025,Deutschland,18-65+,Alle,65892
